Product_Id,Product_Weight,Product_Sugar_Content,Product_Allocated_Area,Product_Type,Product_MRP,Store_Id,Store_Establishment_Year,Store_Size,Store_Location_City_Type,Store_Type,Product_Store_Sales_Total
8231,13.64,1,0.071,9,157.1,3,2009,1,1,3,3882.69
5704,10.03,0,0.016,5,126.66,0,1987,0,1,2,2444.17
2527,12.26,0,0.14,13,138.27,3,2009,1,1,3,3185.13
3496,10.28,0,0.143,3,147.44,3,2009,1,1,3,2926.08
1890,16.38,0,0.082,0,205.16,2,1999,1,0,0,5485.4
5892,13.37,0,0.113,0,137.21,3,2009,1,1,3,3414.5
6958,11.8,3,0.029,1,144.64,3,2009,1,1,3,3212.19
1549,9.61,0,0.026,13,161.79,3,2009,1,1,3,3920.35
1638,11.98,0,0.086,6,125.08,3,2009,1,1,3,2851.97
5442,11.5,0,0.039,4,159.66,3,2009,1,1,3,3451.32
6909,12.66,2,0.153,3,151.92,3,2009,1,1,3,3554.37
3438,9.18,2,0.171,4,115.82,1,1998,2,2,1,2030.87
7661,13.61,1,0.03,9,146.14,3,2009,1,1,3,3652.07
8295,13.18,1,0.059,8,178.63,2,1999,1,0,0,4219.6
1926,13.18,0,0.056,6,164.71,3,2009,1,1,3,3934.13
3040,10.56,2,0.012,0,131.37,3,2009,1,1,3,2660.86
7583,15.45,1,0.036,9,166.22,2,1999,1,0,0,4476.99
4760,15.4,0,0.128,6,177.14,0,1987,0,1,2,4690.32
1258,13.89,0,0.047,10,153.26,3,2009,1,1,3,3859.63
1320,13.31,0,0.1,13,160.34,3,2009,1,1,3,3874.03
1414,10.43,2,0.077,13,119.8,2,1999,1,0,0,5202.19
806,12.73,0,0.056,6,144.22,3,2009,1,1,3,3412.48
3789,10.95,0,0.027,5,120.35,3,2009,1,1,3,2521.93
4155,13.64,2,0.016,4,155.99,3,2009,1,1,3,3859.26
8201,13.7,1,0.016,8,136.46,3,2009,1,1,3,3473.05
3812,12.74,2,0.025,13,121.39,3,2009,1,1,3,2947.95
2032,16.86,0,0.061,6,217.5,2,1999,1,0,0,5845.41
1569,11.69,0,0.076,5,141.63,3,2009,1,1,3,3125.59
6271,11.76,0,0.124,5,185.36,0,1987,0,1,2,4034.76
5288,12.78,0,0.058,13,181.08,0,1987,0,1,2,4177.68
7603,18.01,1,0.012,8,229.54,2,1999,1,0,0,6352.98
208,9.99,0,0.04,7,97.16,1,1998,2,2,1,1832.13
7487,10.09,1,0.02,9,116.0,1,1998,2,2,1,2239.69
475,11.0,2,0.078,14,167.49,3,2009,1,1,3,3498.89
3731,9.5,0,0.05,6,80.23,1,1998,2,2,1,1375.0
6648,13.61,2,0.056,6,135.29,3,2009,1,1,3,3430.23
6397,12.14,0,0.09,0,95.05,1,1998,2,2,1,2273.91
529,11.73,2,0.048,14,122.21,3,2009,1,1,3,2737.89
4318,15.2,0,0.013,0,164.09,2,1999,1,0,0,4378.47
117,14.23,2,0.057,14,156.52,0,1987,0,1,2,4004.4
2989,12.95,2,0.114,0,134.98,3,2009,1,1,3,3272.89
4378,13.13,2,0.095,13,116.75,3,2009,1,1,3,2942.07
4811,12.83,0,0.011,4,150.54,3,2009,1,1,3,3566.16
946,10.84,0,0.049,10,124.93,1,1998,2,2,1,1215.18
1150,10.92,0,0.052,6,100.26,1,1998,2,2,1,2104.26
2993,13.68,0,0.022,3,169.62,0,1987,0,1,2,4148.76
8499,13.02,1,0.02,8,136.03,3,2009,1,1,3,3311.89
28,11.73,0,0.128,14,137.31,3,2009,1,1,3,3044.98
4855,13.31,0,0.066,6,162.29,3,2009,1,1,3,3914.8
1567,11.68,2,0.142,6,142.45,3,2009,1,1,3,3139.58
5398,11.73,0,0.144,3,164.52,3,2009,1,1,3,3602.16
7914,12.28,1,0.012,9,206.85,0,1987,0,1,2,4593.12
1301,10.86,0,0.058,13,161.79,3,2009,1,1,3,3349.31
6098,11.77,0,0.025,4,152.22,2,1999,1,0,0,5751.8
3399,17.11,2,0.065,13,180.36,2,1999,1,0,0,5141.68
7202,11.49,3,0.11,13,135.98,3,2009,1,1,3,3990.5
6051,13.31,2,0.074,13,134.89,3,2009,1,1,3,3354.07
3099,10.89,2,0.142,5,112.77,0,1987,0,1,2,2354.38
6934,15.26,0,0.168,0,173.03,0,1987,0,1,2,4574.15
8200,8.27,1,0.075,8,156.11,3,2009,1,1,3,2649.21
3403,14.88,2,0.099,3,146.81,3,2009,1,1,3,3951.97
4046,12.44,0,0.093,4,137.86,1,1998,2,2,1,552.0
2061,12.44,0,0.061,3,137.09,3,2009,1,1,3,3202.79
183,12.32,2,0.032,14,181.1,0,1987,0,1,2,4075.27
5321,18.12,0,0.031,4,202.1,2,1999,1,0,0,5815.38
19,13.21,0,0.059,14,151.87,3,2009,1,1,3,3677.56
1846,7.72,0,0.07,6,123.45,1,1998,2,2,1,1856.55
7671,11.8,1,0.046,9,164.82,3,2009,1,1,3,3623.93
4541,14.19,0,0.08,6,143.34,3,2009,1,1,3,3724.87
363,13.09,0,0.112,14,123.09,3,2009,1,1,3,3062.32
4616,12.01,2,0.019,3,134.17,3,2009,1,1,3,3043.86
2204,15.55,0,0.054,5,175.65,0,1987,0,1,2,4693.61
5880,14.84,0,0.064,4,135.55,3,2009,1,1,3,3712.61
8471,12.04,1,0.064,8,99.19,0,1987,0,1,2,2336.73
3872,17.15,0,0.094,0,182.91,2,1999,1,0,0,5203.29
2481,9.77,0,0.03,4,132.65,3,2009,1,1,3,4328.48
1006,9.88,0,0.032,13,142.22,3,2009,1,1,3,2727.08
5662,11.85,0,0.137,1,172.17,3,2009,1,1,3,3787.16
3402,15.83,0,0.065,5,180.77,0,1987,0,1,2,4861.63
873,10.71,2,0.066,3,118.97,0,1987,0,1,2,2440.96
1789,11.45,0,0.034,4,133.9,3,2009,1,1,3,2911.86
3336,10.09,0,0.038,5,129.34,3,2009,1,1,3,2511.29
8298,10.15,1,0.016,9,104.0,1,1998,2,2,1,2007.09
8470,14.76,1,0.161,9,188.48,0,1987,0,1,2,4776.98
938,13.89,0,0.016,1,143.01,3,2009,1,1,3,3649.8
2599,14.53,0,0.092,1,218.91,2,1999,1,0,0,5348.62
2536,12.68,0,0.017,13,102.94,3,2009,1,1,3,2556.84
5753,13.48,2,0.129,5,142.83,3,2009,1,1,3,3554.49
8038,12.41,1,0.042,8,166.09,3,2009,1,1,3,3788.44
1960,9.82,0,0.045,0,128.34,0,1987,0,1,2,2431.05
303,10.3,0,0.116,14,130.39,3,2009,1,1,3,2581.85
3537,13.14,2,0.034,5,97.35,3,2009,1,1,3,2546.15
4765,11.92,2,0.031,4,138.42,1,1998,2,2,1,800.44
5419,10.94,0,0.138,4,121.01,3,2009,1,1,3,2532.68
5129,11.65,0,0.058,6,135.76,3,2009,1,1,3,2996.96
3738,11.48,0,0.122,4,153.27,3,2009,1,1,3,3316.49
6943,11.72,0,0.022,10,133.1,3,2009,1,1,3,2956.82
8551,15.11,1,0.014,8,176.72,0,1987,0,1,2,4615.65
985,13.67,0,0.028,5,141.51,3,2009,1,1,3,3570.19
8153,10.8,1,0.07,8,135.13,3,2009,1,1,3,2790.07
2245,15.97,0,0.011,10,169.76,0,1987,0,1,2,4668.59
4773,13.57,3,0.044,4,121.38,3,2009,1,1,3,3135.0
7118,16.24,0,0.032,6,196.44,2,1999,1,0,0,5273.89
4756,14.3,0,0.076,4,159.21,0,1987,0,1,2,4074.0
6592,14.4,0,0.021,4,174.68,2,1999,1,0,0,4414.95
7812,12.26,1,0.159,9,124.22,3,2009,1,1,3,2896.91
3866,12.71,0,0.18,6,183.54,2,1999,1,0,0,4212.43
2172,16.09,2,0.138,6,161.68,0,1987,0,1,2,4530.6
1492,7.11,0,0.065,5,96.54,1,1998,2,2,1,1167.43
7159,13.08,0,0.128,10,146.35,3,2009,1,1,3,4334.63
1109,9.2,0,0.081,13,108.37,1,1998,2,2,1,1881.0
5054,16.15,2,0.185,3,168.51,0,1987,0,1,2,4684.13
555,13.44,0,0.011,7,153.62,3,2009,1,1,3,3765.08
5300,11.99,2,0.081,4,122.18,3,2009,1,1,3,2794.79
4531,12.58,2,0.174,5,110.83,3,2009,1,1,3,2696.92
674,10.85,2,0.111,14,102.41,1,1998,2,2,1,2132.57
4488,13.73,0,0.027,6,157.0,3,2009,1,1,3,2842.69
5919,14.94,0,0.098,3,132.02,3,2009,1,1,3,3662.7
5309,12.33,2,0.16,10,111.53,3,2009,1,1,3,2653.7
7716,17.33,1,0.038,8,195.06,2,1999,1,0,0,5492.55
6518,13.51,0,0.047,0,144.06,3,2009,1,1,3,3586.98
4151,11.49,0,0.06,4,94.19,1,1998,2,2,1,2110.46
6531,10.1,0,0.006,6,117.76,1,1998,2,2,1,2277.36
5784,13.75,0,0.038,13,150.43,3,2009,1,1,3,3771.58
6068,14.52,2,0.019,0,214.98,2,1999,1,0,0,5264.97
4737,13.45,2,0.106,0,141.05,3,2009,1,1,3,3511.42
